Impact,Year,Country,Protection,Impact Func ID
338648.56390644284,2019,SDN,No Protection,1
403860.3371128865,2020,SDN,No Protection,1
78574.2147134576,2021,SDN,No Protection,1
117916.93160796845,2022,SDN,No Protection,1
16942.766549402633,2023,SDN,No Protection,1
50532.09699635056,2008,SDN,No Protection,2
31772.48632180084,2009,SDN,No Protection,2
96605.1584198925,2010,SDN,No Protection,2
26218.445518621098,2011,SDN,No Protection,2
95142.20062651367,2012,SDN,No Protection,2
134565.8621927615,2013,SDN,No Protection,2
94502.61816355432,2014,SDN,No Protection,2
10979.274473037221,2015,SDN,No Protection,2
42113.0737190786,2016,SDN,No Protection,2
84918.74122415372,2017,SDN,No Protection,2
100352.53003386322,2018,SDN,No Protection,2
422828.0331670363,2019,SDN,No Protection,2
509625.4746080948,2020,SDN,No Protection,2
84778.66335079799,2021,SDN,No Protection,2
123900.0678465065,2022,SDN,No Protection,2
18622.031510721554,2023,SDN,No Protection,2
50532.09699635056,2008,SDN,No Protection,3
31772.48632180084,2009,SDN,No Protection,3
96605.1584198925,2010,SDN,No Protection,3
26218.445518621098,2011,SDN,No Protection,3
95142.20062651367,2012,SDN,No Protection,3
134565.8621927615,2013,SDN,No Protection,3
94502.61816355432,2014,SDN,No Protection,3
10979.274473037221,2015,SDN,No Protection,3
42113.0737190786,2016,SDN,No Protection,3
84918.74122415372,2017,SDN,No Protection,3
100352.53003386322,2018,SDN,No Protection,3
422828.0331670363,2019,SDN,No Protection,3
509625.4746080948,2020,SDN,No Protection,3
84778.66335079799,2021,SDN,No Protection,3
123900.0678465065,2022,SDN,No Protection,3
18622.031510721554,2023,SDN,No Protection,3
54240.53247735277,2008,SDN,No Protection,4
35706.62950767175,2009,SDN,No Protection,4
97210.41359173668,2010,SDN,No Protection,4
35151.52969406328,2011,SDN,No Protection,4
96579.54219791718,2012,SDN,No Protection,4
125096.4166181303,2013,SDN,No Protection,4
92086.39502607829,2014,SDN,No Protection,4
12517.591917649777,2015,SDN,No Protection,4
44967.12767797146,2016,SDN,No Protection,4
77200.43286269602,2017,SDN,No Protection,4
95379.25514605177,2018,SDN,No Protection,4
338648.56390644284,2019,SDN,No Protection,4
403860.3371128865,2020,SDN,No Protection,4
78574.2147134576,2021,SDN,No Protection,4
117916.93160796845,2022,SDN,No Protection,4
16942.766549402633,2023,SDN,No Protection,4
50532.08909550721,2008,SDN,No Protection,5
31772.474829929095,2009,SDN,No Protection,5
96605.2224445411,2010,SDN,No Protection,5
26218.378379156668,2011,SDN,No Protection,5
95142.24024133965,2012,SDN,No Protection,5
134566.03816133612,2013,SDN,No Protection,5
94502.6902376417,2014,SDN,No Protection,5
10979.271589687762,2015,SDN,No Protection,5
42113.07624339373,2016,SDN,No Protection,5
84918.8661590341,2017,SDN,No Protection,5
100352.64662714461,2018,SDN,No Protection,5
422829.00397680263,2019,SDN,No Protection,5
509626.69145209563,2020,SDN,No Protection,5
84778.75546517778,2021,SDN,No Protection,5
123900.20015717551,2022,SDN,No Protection,5
18622.05833214795,2023,SDN,No Protection,5
54240.53247735277,2008,SDN,No Protection,6
35706.62950767175,2009,SDN,No Protection,6
97210.41359173668,2010,SDN,No Protection,6
35151.52969406328,2011,SDN,No Protection,6
96579.54219791718,2012,SDN,No Protection,6
125096.4166181303,2013,SDN,No Protection,6
92086.39502607829,2014,SDN,No Protection,6
12517.591917649777,2015,SDN,No Protection,6
44967.12767797146,2016,SDN,No Protection,6
77200.43286269602,2017,SDN,No Protection,6
95379.25514605177,2018,SDN,No Protection,6
338648.56390644284,2019,SDN,No Protection,6
403860.3371128865,2020,SDN,No Protection,6
78574.2147134576,2021,SDN,No Protection,6
117916.93160796845,2022,SDN,No Protection,6
16942.766549402633,2023,SDN,No Protection,6
50532.08909550721,2008,SDN,No Protection,7
31772.474829929095,2009,SDN,No Protection,7
96605.2224445411,2010,SDN,No Protection,7
26218.378379156668,2011,SDN,No Protection,7
95142.24024133965,2012,SDN,No Protection,7
134566.03816133612,2013,SDN,No Protection,7
94502.6902376417,2014,SDN,No Protection,7
10979.271589687762,2015,SDN,No Protection,7
42113.07624339373,2016,SDN,No Protection,7
84918.8661590341,2017,SDN,No Protection,7
100352.64662714461,2018,SDN,No Protection,7
422829.00397680263,2019,SDN,No Protection,7
509626.69145209563,2020,SDN,No Protection,7
84778.75546517778,2021,SDN,No Protection,7
123900.20015717551,2022,SDN,No Protection,7
18622.05833214795,2023,SDN,No Protection,7
54240.53247735277,2008,SDN,No Protection,8
35706.62950767175,2009,SDN,No Protection,8
97210.41359173668,2010,SDN,No Protection,8
35151.52969406328,2011,SDN,No Protection,8
96579.54219791718,2012,SDN,No Protection,8
125096.4166181303,2013,SDN,No Protection,8
92086.39502607829,2014,SDN,No Protection,8
12517.591917649777,2015,SDN,No Protection,8
44967.12767797146,2016,SDN,No Protection,8
77200.43286269602,2017,SDN,No Protection,8
95379.25514605177,2018,SDN,No Protection,8
338648.56390644284,2019,SDN,No Protection,8
403860.3371128865,2020,SDN,No Protection,8
78574.2147134576,2021,SDN,No Protection,8
117916.93160796845,2022,SDN,No Protection,8
16942.766549402633,2023,SDN,No Protection,8
50532.09699635056,2008,SDN,No Protection,9
31772.48632180084,2009,SDN,No Protection,9
96605.1584198925,2010,SDN,No Protection,9
26218.445518621098,2011,SDN,No Protection,9
95142.20062651367,2012,SDN,No Protection,9
134565.8621927615,2013,SDN,No Protection,9
94502.61816355432,2014,SDN,No Protection,9
10979.274473037221,2015,SDN,No Protection,9
42113.0737190786,2016,SDN,No Protection,9
84918.74122415372,2017,SDN,No Protection,9
100352.53003386322,2018,SDN,No Protection,9
422828.0331670363,2019,SDN,No Protection,9
509625.4746080948,2020,SDN,No Protection,9
84778.66335079799,2021,SDN,No Protection,9
123900.0678465065,2022,SDN,No Protection,9
18622.031510721554,2023,SDN,No Protection,9
50532.09699635056,2008,SDN,No Protection,10
31772.48632180084,2009,SDN,No Protection,10
96605.1584198925,2010,SDN,No Protection,10
26218.445518621098,2011,SDN,No Protection,10
95142.20062651367,2012,SDN,No Protection,10
134565.8621927615,2013,SDN,No Protection,10
94502.61816355432,2014,SDN,No Protection,10
10979.274473037221,2015,SDN,No Protection,10
42113.0737190786,2016,SDN,No Protection,10
84918.74122415372,2017,SDN,No Protection,10
100352.53003386322,2018,SDN,No Protection,10
422828.0331670363,2019,SDN,No Protection,10
509625.4746080948,2020,SDN,No Protection,10
84778.66335079799,2021,SDN,No Protection,10
123900.0678465065,2022,SDN,No Protection,10
18622.031510721554,2023,SDN,No Protection,10
50532.08909550721,2008,SDN,No Protection,11
31772.474829929095,2009,SDN,No Protection,11
96605.2224445411,2010,SDN,No Protection,11
26218.378379156668,2011,SDN,No Protection,11
95142.24024133965,2012,SDN,No Protection,11
134566.03816133612,2013,SDN,No Protection,11
94502.6902376417,2014,SDN,No Protection,11
10979.271589687762,2015,SDN,No Protection,11
42113.07624339373,2016,SDN,No Protection,11
84918.8661590341,2017,SDN,No Protection,11
100352.64662714461,2018,SDN,No Protection,11
422829.00397680263,2019,SDN,No Protection,11
509626.69145209563,2020,SDN,No Protection,11
84778.75546517778,2021,SDN,No Protection,11
123900.20015717551,2022,SDN,No Protection,11
18622.05833214795,2023,SDN,No Protection,11
50532.09699635056,2008,SDN,No Protection,12
31772.48632180084,2009,SDN,No Protection,12
96605.1584198925,2010,SDN,No Protection,12
26218.445518621098,2011,SDN,No Protection,12
95142.20062651367,2012,SDN,No Protection,12
134565.8621927615,2013,SDN,No Protection,12
94502.61816355432,2014,SDN,No Protection,12
10979.274473037221,2015,SDN,No Protection,12
42113.0737190786,2016,SDN,No Protection,12
84918.74122415372,2017,SDN,No Protection,12
100352.53003386322,2018,SDN,No Protection,12
422828.0331670363,2019,SDN,No Protection,12
509625.4746080948,2020,SDN,No Protection,12
84778.66335079799,2021,SDN,No Protection,12
123900.0678465065,2022,SDN,No Protection,12
18622.031510721554,2023,SDN,No Protection,12
54240.53247735277,2008,SDN,No Protection,13
35706.62950767175,2009,SDN,No Protection,13
97210.41359173668,2010,SDN,No Protection,13
35151.52969406328,2011,SDN,No Protection,13
96579.54219791718,2012,SDN,No Protection,13
125096.4166181303,2013,SDN,No Protection,13
92086.39502607829,2014,SDN,No Protection,13
12517.591917649777,2015,SDN,No Protection,13
44967.12767797146,2016,SDN,No Protection,13
77200.43286269602,2017,SDN,No Protection,13
95379.25514605177,2018,SDN,No Protection,13
338648.56390644284,2019,SDN,No Protection,13
403860.3371128865,2020,SDN,No Protection,13
78574.2147134576,2021,SDN,No Protection,13
117916.93160796845,2022,SDN,No Protection,13
16942.766549402633,2023,SDN,No Protection,13
50532.08909550721,2008,SDN,No Protection,14
31772.474829929095,2009,SDN,No Protection,14
96605.2224445411,2010,SDN,No Protection,14
26218.378379156668,2011,SDN,No Protection,14
95142.24024133965,2012,SDN,No Protection,14
134566.03816133612,2013,SDN,No Protection,14
94502.6902376417,2014,SDN,No Protection,14
10979.271589687762,2015,SDN,No Protection,14
42113.07624339373,2016,SDN,No Protection,14
84918.8661590341,2017,SDN,No Protection,14
100352.64662714461,2018,SDN,No Protection,14
422829.00397680263,2019,SDN,No Protection,14
509626.69145209563,2020,SDN,No Protection,14
84778.75546517778,2021,SDN,No Protection,14
123900.20015717551,2022,SDN,No Protection,14
18622.05833214795,2023,SDN,No Protection,14
50532.09699635056,2008,SDN,No Protection,15
31772.48632180084,2009,SDN,No Protection,15
96605.1584198925,2010,SDN,No Protection,15
26218.445518621098,2011,SDN,No Protection,15
95142.20062651367,2012,SDN,No Protection,15
134565.8621927615,2013,SDN,No Protection,15
94502.61816355432,2014,SDN,No Protection,15
10979.274473037221,2015,SDN,No Protection,15
42113.0737190786,2016,SDN,No Protection,15
84918.74122415372,2017,SDN,No Protection,15
100352.53003386322,2018,SDN,No Protection,15
422828.0331670363,2019,SDN,No Protection,15
509625.4746080948,2020,SDN,No Protection,15
84778.66335079799,2021,SDN,No Protection,15
123900.0678465065,2022,SDN,No Protection,15
18622.031510721554,2023,SDN,No Protection,15
51428.46665152385,2008,SDN,No Protection,16
33214.10417858346,2009,SDN,No Protection,16
96320.6232509588,2010,SDN,No Protection,16
29136.268367486613,2011,SDN,No Protection,16
94431.31232006515,2012,SDN,No Protection,16
130187.82718093942,2013,SDN,No Protection,16
92757.49679730898,2014,SDN,No Protection,16
11706.81600215004,2015,SDN,No Protection,16
42981.26763409298,2016,SDN,No Protection,16
81715.09640655555,2017,SDN,No Protection,16
98187.55137445492,2018,SDN,No Protection,16
387210.9006437667,2019,SDN,No Protection,16
465188.86439964647,2020,SDN,No Protection,16
81507.91186089595,2021,SDN,No Protection,16
120647.07116148462,2022,SDN,No Protection,16
18002.85230105213,2023,SDN,No Protection,16
50532.08909550721,2008,SDN,No Protection,17
31772.474829929095,2009,SDN,No Protection,17
96605.2224445411,2010,SDN,No Protection,17
26218.378379156668,2011,SDN,No Protection,17
95142.24024133965,2012,SDN,No Protection,17
134566.03816133612,2013,SDN,No Protection,17
94502.6902376417,2014,SDN,No Protection,17
10979.271589687762,2015,SDN,No Protection,17
42113.07624339373,2016,SDN,No Protection,17
84918.8661590341,2017,SDN,No Protection,17
100352.64662714461,2018,SDN,No Protection,17
422829.00397680263,2019,SDN,No Protection,17
509626.69145209563,2020,SDN,No Protection,17
84778.75546517778,2021,SDN,No Protection,17
123900.20015717551,2022,SDN,No Protection,17
18622.05833214795,2023,SDN,No Protection,17
51428.46665152385,2008,SDN,No Protection,18
33214.10417858346,2009,SDN,No Protection,18
96320.6232509588,2010,SDN,No Protection,18
29136.268367486613,2011,SDN,No Protection,18
94431.31232006515,2012,SDN,No Protection,18
130187.82718093942,2013,SDN,No Protection,18
92757.49679730898,2014,SDN,No Protection,18
11706.81600215004,2015,SDN,No Protection,18
42981.26763409298,2016,SDN,No Protection,18
81715.09640655555,2017,SDN,No Protection,18
98187.55137445492,2018,SDN,No Protection,18
387210.9006437667,2019,SDN,No Protection,18
465188.86439964647,2020,SDN,No Protection,18
81507.91186089595,2021,SDN,No Protection,18
120647.07116148462,2022,SDN,No Protection,18
18002.85230105213,2023,SDN,No Protection,18
50532.09699635056,2008,SDN,No Protection,19
31772.48632180084,2009,SDN,No Protection,19
96605.1584198925,2010,SDN,No Protection,19
26218.445518621098,2011,SDN,No Protection,19
95142.20062651367,2012,SDN,No Protection,19
134565.8621927615,2013,SDN,No Protection,19
94502.61816355432,2014,SDN,No Protection,19
10979.274473037221,2015,SDN,No Protection,19
42113.0737190786,2016,SDN,No Protection,19
84918.74122415372,2017,SDN,No Protection,19
100352.53003386322,2018,SDN,No Protection,19
422828.0331670363,2019,SDN,No Protection,19
509625.4746080948,2020,SDN,No Protection,19
84778.66335079799,2021,SDN,No Protection,19
123900.0678465065,2022,SDN,No Protection,19
18622.031510721554,2023,SDN,No Protection,19
8613.920567657904,2008,SDN,FLOPROS,0
9163.921789443488,2009,SDN,FLOPROS,0
